Band.Numbe,Laeq,num.songs,Age,Location,Dialect,Type,NORTH.COOR,WEST.COORD,trill.bw,trill.rate,body.condition,deviation,all.dev
144100566,45.7,1,5,RICH,Berkeley,urban,37.90880397,-122.350423,4253.8,7.68403258,28.7998511,18.9,-6.73
277110618,43.6,1,5,LIMA,Limantour,rural,38.02654297,-122.883605,3826.7,11.46350783,33.0854074,18.56250146,-2.11
277110619,53.4,10,5,LIMA,Limantour,rural,38.02739901,-122.890838,3849.409091,10.70042234,32.70637271,26.26360633,-1.79
266127820,47.65,10,5,ABLA,McClure,rural,38.121297,-122.94201,3884.49,9.332413872,34.9320264,20.227,-1.11
144100539,45.9,1,5,FOFU,SF-LM,urban,37.723982,-122.504611,3856.5,9.011038522,33.2383524,20.77,-0.24
277110616,48.1,1,5,LIMA,Limantour,rural,38.02704203,-122.887843,3710,12.16545012,31.5748721,18.80168043,-0.51
144100542,49.8,1,5,FOFU,SF-LM,urban,37.72471198,-122.505224,3903.2,5.621135469,34.4807866,23.79,2.23
144100532,65.1,3,5,FOFU,SF-LM,urban,37.71839404,-122.500972,3886.866667,5.640683807,31.51261662,23.9,2.53
144100567,53.2,5,5,RICH,Berkeley,urban,37.90940797,-122.3468,3732.44,10.57816471,28.26788573,20.208,0.63
277110632,42.4,10,5,ABLA,McClure,rural,38.11868196,-122.948065,3789.05,8.556934857,29.6627202,21.772,1.54
144100537,50.3,1,5,FOFU,SF-LM,urban,37.72123902,-122.504498,3903.1,6.184291899,33.3442071,23.23,1.67
277110624,52,1,4,COMW,Clear,rural,37.90857296,-122.726483,3780,7.633587786,31.99536461,22.77,2.64
277110643,46.53333333,10,5,ABLA,McClure,rural,38.12319696,-122.938746,3708.78,9.364744436,28.1774075,21.612,2.31
277110634,44.95,6,4,ABLA,McClure,rural,38.11924799,-122.951355,3768.64,7.20039837,29.50846685,23.294,3.3
271160885,45.35,10,5,ABLA,McClure,rural,38.12372603,-122.935433,3709.18,8.984619628,31.49769741,21.989,2.69
266127822,44.4,10,5,ABLA,McClure,rural,38.12115203,-122.943445,3706.82,8.968263334,31.8762399,22.024,2.75
144100547,56,1,4,FOFU,SF-LM,urban,37.71234599,-122.498655,3692.8,9.055627426,32.8220195,22.05010717,2.94
144100579,60.5,10,5,FOFU,SF-LM,urban,37.71781099,-122.501022,3761.26,5.866388458,29.8777296,24.686,4.78
144100568,53.6,1,5,RICH,Berkeley,urban,37.90802001,-122.341818,3669.5,7.963897,28.375983,23.32969921,4.49
277110615,48.1,2,5,LIMA,Limantour,rural,38.02704203,-122.887843,3581.6,10.468561,32.6018403,21.535,3.71
277110631,43.3,9,5,ABLA,McClure,rural,38.11862899,-122.947097,3612.622222,8.243642466,31.8525107,23.50777778,5.33
277110655,47.14720535,1,4,LIMA,Limantour,rural,38.03082101,-122.880124,3476.7,11.05786952,34.12818857,21.79061545,5.19
277110621,47.2,1,5,COMW,Clear,rural,37.907012,-122.723392,3570,7.202016565,33.3848169,24.89394814,7.21
144100520,52.1,6,5,FOFU,SF-LM,urban,37.71329801,-122.499568,3603.216667,5.937206882,30.87932256,25.89,7.82
277110612,49.7,1,4,LIMA,Limantour,rural,38.02881204,-122.882687,3430,10.54018445,32.7969835,22.68488434,6.62
144100577,49.9,7,5,FOFU,SF-LM,urban,37.71560697,-122.499262,3565.942857,6.088914149,30.87932256,26.04,8.4
277110633,47.65,2,4,ABLA,McClure,rural,38.12129703,-122.94201,3470.8,8.927357947,29.9177606,23.97,7.43
144100538,47.4,1,5,FOFU,SF-LM,urban,37.72085404,-122.504414,3552.6,6.09570253,32.73290123,26.14,8.66
277110651,35.9,10,4,ABLA,McClure,rural,38.118868,-122.94519,3449.99,9.097543601,31.38471864,23.966,7.67
277110614,47.7,1,4,LIMA,Limantour,rural,38.02961896,-122.881688,3406.6,10.04016064,28.9119311,23.37359543,7.59
277110652,42.23333333,10,5,ABLA,McClure,rural,38.11888698,-122.945215,3418.05,9.137057665,33.27992221,24.184,8.26
277110650,39.95,10,5,ABLA,McClure,rural,38.11869797,-122.944403,3397.87,8.311208226,32.5545021,25.173,9.49
144100570,50.2,1,5,RICH,Berkeley,urban,37.90954703,-122.339247,3412.3,7.705347511,32.5707046,25.66,9.81
144100524,68.1,6,5,FOFU,SF-LM,urban,37.71326599,-122.498517,3348.716667,6.196501353,30.5421909,27.68333333,12.57
277110658,51.7,1,5,LIMA,Limantour,rural,38.02621599,-122.876718,3173.4,10.88534107,35.0706646,24.40902649,11.33
277110660,48.2,1,5,LIMA,Limantour,rural,38.03005197,-122.882655,3126.7,11.29177958,29.6295581,24.37920185,11.84
144100528,48.9,10,5,FWSC,SF,urban,37.80008901,-122.474856,3145.47,10.44863416,30.4020375,25.071,12.32
144100580,62.5,8,5,FOFU,SF-LM,urban,37.71812799,-122.501195,3280.475,5.807183344,31.1031067,28.62375,14.3
144100507,58.6,4,5,BABE,SF,urban,37.78605,-122.48145,3168.9,9.023564932,29.88684,26.31,13.28
277110625,52,1,5,COMW,Clear,rural,37.90830198,-122.725891,3220,7.295719844,30.0795624,27.62,14
144100431,55.5,10,3,BABE,SF,urban,37.79218,-122.48283,3094.56,9.452328932,31.3827484,26.47777781,14.31
277110656,47.8584671,1,4,LIMA,Limantour,rural,38.02861799,-122.878164,3056.6,10.58873359,35.29277914,25.64752919,13.92
144100587,57.9,1,5,RICH,Berkeley,urban,37.91133497,-122.359549,3085.1,8.503401361,31.1809185,27.50296237,15.45
144100590,52.9,1,5,RICH,Berkeley,urban,37.91193201,-122.33393,3085.1,7.413814408,29.88193292,28.59,16.54
277110636,42.1,10,4,ABLA,McClure,rural,38.12148998,-122.954989,3052.2,7.810062224,30.0667636,28.46,16.79
277110623,50.3,1,5,COMW,Clear,rural,37.90586402,-122.724797,3010,8.787346221,29.15224009,27.82465221,16.64
277110657,47.9,1,5,LIMA,Limantour,rural,38.02854398,-122.877875,2963.3,10.27045532,32.2845306,26.71819199,16.08
277110617,46.4,1,4,LIMA,Limantour,rural,38.026329,-122.883502,2916.7,11.13585746,33.06238056,26.22861223,16.13
144100571,46,1,3,RICH,Berkeley,urban,37.91025898,-122.338999,3015.1,7.78058743,30.326087,28.79,17.55
144100574,48.8,2,5,RICH,Berkeley,urban,37.91076399,-122.336941,3038.4,6.974718561,31.51625791,29.405,17.9
257195929,49.3,10,5,COMW,Clear,rural,37.91695001,-122.720217,3025.31,7.129735419,32.53838093,29.359,18
144100544,52.2,1,5,FOFU,SF-LM,urban,37.71192798,-122.500221,2944.9,9.56937799,31.6185454,27.57,17.14
277110610,43.9,1,5,LIMA,Limantour,rural,38.02919802,-122.882511,2846.6,11.67542323,28.00102148,26.2543682,16.97
144100522,56.5,1,5,FOFU,SF-LM,urban,37.71390201,-122.499946,2968.2,6.491398896,33.38394364,30.46,19.76
144100586,54.66072,1,4,RICH,Berkeley,urban,37.90969597,-122.359445,2921.6,7.971938776,29.48874959,29.35,19.2
144100582,64.9,1,5,FOFU,SF-LM,urban,37.72393799,-122.50333,2944.9,6.544502618,31.9680969,30.59,20.17
277110626,45.3,1,5,COMW,Clear,rural,37.91052704,-122.726788,2916.7,7.320644217,32.8053917,30.04,19.95
144100545,50.9,8,5,FOFU,SF-LM,urban,37.711873,-122.500711,2749.1625,11.2605268,35.1613489,27.455,19.3
144100592,41.3,1,5,COMW,Clear,rural,37.91731504,-122.720543,2893.3,6.510416667,33.1917984,31.04260616,21.22
144100569,48.2,1,5,RICH,Berkeley,urban,37.90926103,-122.339971,2851.4,7.549068948,31.5776953,30.34187989,21
144100541,48.3,1,5,FOFU,SF-LM,urban,37.72475598,-122.5046,2874.8,6.207324643,29.45604996,31.49,21.88
277110662,42.25075912,1,4,LIMA,Limantour,rural,38.03089402,-122.883493,2730,8.893632159,33.42058287,29.97636082,22.05
144100565,49.8,1,5,RICH,Berkeley,urban,37.90842502,-122.351281,2734.6,8.172605427,29.62824998,30.66026854,22.68
144100546,59.9,1,5,FOFU,SF-LM,urban,37.71189404,-122.498663,2804.7,5.399568035,33.21866593,32.87,24.07
144100591,49.7,4,5,RICH,Berkeley,urban,37.91071898,-122.334197,2576.825,7.314316716,29.4315015,32.79,26.64
144100588,56.1,2,3,RICH,Berkeley,urban,37.90993896,-122.333272,2570.95,7.159700242,29.0447642,32.995,26.91
144100543,49.9,8,5,FOFU,SF-LM,urban,37.71280599,-122.500474,2450.216667,9.211838879,32.06652572,31.91333333,27.23
144100559,62.2,9,5,BATE,SF,urban,37.80842599,-122.47254,2305.855556,9.809888425,28.4787262,32.48111111,29.48
144100560,59.7,10,5,BATE,SF,urban,37.80722897,-122.47172,2302.04,9.609061167,31.5764634,32.713,29.75
144100509,46.1,5,5,LODU,SF,urban,37.787964,-122.478038,2312.46,9.022417063,31.4714918,33.214,30.13
144100531,55.9,1,5,FWSC,SF,urban,37.79914596,-122.473705,2228.9,10.00250063,33.7222587,32.91,30.8
144100515,57.7,10,5,BATE,SF,urban,37.80571503,-122.469833,2155.57,10.55195698,30.9714567,32.949,31.69
144100504,47.9,2,5,BABE,SF,urban,37.79109,-122.48359,2155.4,9.112342609,30.683987,34.39137777,33.14
144100561,60.6,10,5,BATE,SF,urban,37.80942804,-122.476301,2119.57,9.616201874,31.17257,34.17647711,33.34
144100518,44,9,5,FWSC,SF,urban,37.80212003,-122.474225,2099.333333,9.26579561,34.1349003,34.6900656,34.09
144100512,66.3,9,5,BATE,SF,urban,37.80862204,-122.476155,2066.355556,10.12359705,27.7043272,34.09888889,33.88
144100554,62,10,5,FWSC,SF,urban,37.79824901,-122.469377,2082.6,9.407959486,29.8325632,34.683,34.27
144100552,50.4,10,4,BATW,SF,urban,37.80415398,-122.477311,2035.76,10.14262156,30.1775061,34.327,34.46
144100513,56.4,5,5,BATE,SF,urban,37.80854199,-122.474636,2037.54,10.00658063,32.8121747,34.446,34.56
144100517,55.1,10,5,BATW,SF,urban,37.802202,-122.476383,1962.72,11.86133692,30.7832879,33.19629329,34.18
144100550,50.9,2,4,BATW,SF,urban,37.80586104,-122.476911,2003.65,9.547298807,28.104563,35.18018625,35.69
144100555,60.5,10,4,FWSC,SF,urban,37.79830199,-122.468917,1986.45,8.675421668,31.1571343,36.1907402,36.9
144100551,53.7,9,5,BATW,SF,urban,37.80542099,-122.477123,1936.4,10.16258959,33.4032267,35.10666667,36.4
144100506,57.3,3,4,BABE,SF,urban,37.79567,-122.4819,1938.233333,8.79293948,30.9818897,36.46,37.73
144100556,64.5,10,5,FWSC,SF,urban,37.797859,-122.468749,1896.077778,9.666180931,32.5707046,35.92888889,37.69
144100557,55.9,2,5,FWSC,SF,urban,37.79794601,-122.467929,1894.55,9.233252491,32.6000164,36.37403245,38.15
144100516,48.5,4,5,BATW,SF,urban,37.80450904,-122.476686,1905.625,8.697991116,30.9521532,36.81996481,38.47
144100562,61.2,8,5,BATE,SF,urban,37.80989097,-122.476487,1873.9875,9.587869368,29.834856,36.18524833,38.2
144100563,52,3,4,BATW,SF,urban,37.80261196,-122.477823,1841.666667,9.258992104,30.313843,36.77666667,39.16
144100526,60.9,10,5,LODU,SF,urban,37.78748397,-122.473102,1801.2,10.34765367,29.5193977,36.012,38.87
144100527,60.6,8,4,LODU,SF,urban,37.78905599,-122.472069,1831.866667,9.142168985,29.7370189,36.97,39.47
144100519,54.8,6,4,FWSC,SF,urban,37.80110397,-122.473278,1676.283333,13.13812231,28.2708869,34.22666667,38.54
144100581,57.8,1,2,FOFU,SF-LM,urban,37.72271398,-122.502869,1776.3,5.868544601,NA,40.69222896,43.84